x,y,ux,uy
40,17,0.041003437,-0.004201476
37.7777191,6.67412154,0.038140599,-0.002779008
39.609507,13.9808938,0.046588089,-0.003591697
40,16.25,0.040697715,-0.003979919
36.938894,3.92546072,0.037809052,0.00314953
40,15.5,0.040764079,-0.003988094
40,14.75,0.040929664,-0.003715488
37.4536638,4.70461669,0.038092401,0.003008782
40,14,0.049079953,-0.003929198
38.1200263,6.46932034,0.038525376,-0.001612528
35.78125,0,0.0431702,-0.004226776
37.9644515,5.49564501,0.038189539,0.003319445
36.4931876,1.55951212,0.038610632,0.003417048
40.5792151,15.4883089,0.041557218,-0.003929062
37.3099045,3.08616519,0.038561625,0.00364598
38.4692663,6.30448186,0.038934661,-0.000772174
40.3892183,13.9810186,0.051203539,-0.004280384
40.8977341,16.9905093,0.041778165,-0.003923357
41.2162531,18.4927097,0.041685973,-0.004133815
38.1266213,4.61281826,0.03853978,0.003065627
41.40625,20,0.041594986,-0.004190071
38.838559,6.17233038,0.039383421,-0.000217785
40.7803613,13.9231411,0.057464535,-0.004694705
40.9678621,14.6903806,0.041728996,-0.003013905
41.212377,15.4510782,0.04237931,-0.003585213
41.4949015,16.2074147,0.042401663,-0.003997656
39.2196387,6.07685887,0.039744354,0.001064011
41.160231,13.8280366,0.052654246,-0.0037447
37.9018062,2.28424103,0.039281605,0.003886806
38.2035694,3.03842944,0.038947681,0.003932666
37.6191413,1.52788503,0.039283639,0.003811481
39.0324656,5.30966499,0.039758887,0.00364215
38.5053325,3.79261785,0.039399451,0.003967908
38.7879974,4.54897384,0.039830321,0.003765416
37.3746732,0.767193886,0.039496561,0.003673694
41.7964307,16.9615706,0.041976741,-0.003699164
37.1875,0,0.033224961,-0.002638192
42.0979598,17.7157264,0.041936687,-0.00348724
39.609507,6.01910623,0.040114555,0.002183496
41.5307338,13.6955181,0.045161568,-0.002846497
41.8728839,15.3875646,0.043056639,-0.003240988
42.3804843,18.4720629,0.042313718,-0.003373011
39.4197826,4.51180658,0.040248131,0.004255636
42.6249993,19.2327605,0.042389729,-0.003725174
42.036208,14.5044467,0.043688378,-0.002725132
40,6,0.040487646,0.003106461
41.8864234,13.5272378,0.037636477,-0.002078503
42.8125,20,0.042907693,-0.004219448
39.1016285,3.00955311,0.039693508,0.003756845
40,5.25,0.041625067,0.002795917
42.6894905,16.9140183,0.042848203,-0.003559381
42.54709,15.2954882,0.042622943,-0.002936639
40.3892183,6.01898139,0.040859398,0.003818609
38.7834744,1.50729965,0.0396416,0.003721522
42.2222809,13.3258784,0.038714073,-0.002211443
40,4.5,0.041115317,0.003824239
40,3.75,0.040498351,0.00384288
40.7803613,6.07685888,0.041223114,0.004268263
42.5397864,13.0902241,0.038744798,-0.002745615
43.0615771,16.0746048,0.043498416,-0.003076253
38.59375,0,0.035921302,0.003538033
43.5060971,18.440472,0.043003984,-0.003166944
40,3,0.040205978,0.003638843
40.5789769,4.51172419,0.041315178,0.004015741
43.2133574,15.173872,0.043562134,-0.002725964
43.0624831,14.1845776,0.044618293,-0.002319974
41.160231,6.17196343,0.042205597,0.004897949
42.8284271,12.8284271,0.048546371,-0.004520841
40.967189,5.30971305,0.042239461,0.005427561
43.5778669,16.8477591,0.043660272,-0.002784883
40,2.25,0.039944303,0.003627905
41.5307337,6.30448188,0.042730223,0.004209788
43.0902241,12.5397864,0.047251839,-0.002984076
44.21875,20,0.043560622,-0.0028357
40,1.5,0.04045359,0.00389239
44.0941566,17.6209133,0.043549589,-0.003025726
41.2116079,4.54902877,0.041955692,0.004052332
41.8864234,6.47276218,0.043563438,0.003841252
43.3258785,12.2222809,0.045446301,-0.001450342
43.8484283,15.0223334,0.044622746,-0.002053903
40,0.75,0.039952594,0.004546267
40.8977341,3.0094907,0.041155134,0.003004624
42.2222809,6.67412156,0.043824714,0.003287448
43.5272378,11.8864234,0.043331898,0.002267071
43.8811237,13.7248737,0.045773586,-0.001416802
44.6086438,18.40003,0.043344781,-0.002757901
44.4588367,16.7636189,0.044151173,-0.002313367
40,0,0.033337134,0.009459567
42.0348539,5.49574165,0.042785709,0.002907352
41.4944207,3.79265218,0.041996715,0.00316921
42.5397864,6.90977589,0.044739683,0.00266808
43.6955181,11.5307337,0.045944237,-3.2898E-05
41.8715942,4.61261486,0.042290553,0.003583564
44.432875,14.8369699,0.045088038,-0.001628964
44.5982022,15.8461269,0.044819986,-0.002294033
42.8284271,7.17157288,0.045447157,0.002606288
43.8280366,11.160231,0.047227434,-0.001372258
45.1195258,19.1910714,0.043763616,-0.002861352
44.3413779,12.9404978,0.046833877,-0.001074626
43.0902241,7.46021361,0.045419126,0.002642634
43.9231411,10.7803613,0.047500238,-0.001712069
41.2164914,1.5072572,0.04082832,0.004623105
41.7964307,3.03842944,0.04187036,0.003286502
43.3258785,7.77771907,0.046364197,0.002784137
43.9810186,10.3892182,0.047277991,-0.000291101
43.5272378,8.11357659,0.046638155,0.002554992
44,10,0.047240152,8.05424E-05
42.5455425,4.70472713,0.043133407,0.002662521
44.9338204,14.6213203,0.045305752,-0.0015503
43.6955181,8.46926628,0.046994812,0.002560352
43.9810186,9.61078176,0.047519856,0.000677541
45.625,20,0.044673019,-0.002850001
43.8280366,8.839769,0.046749828,0.000130834
43.9231411,9.21963871,0.047462932,-5.80271E-05
45.3298905,16.6629392,0.04419012,-0.002245483
43.0616664,5.81553598,0.043783911,0.002086449
44.6616058,11.966003,0.047475301,-0.001297751
